                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.21893,                  2.278,                0.17343,                0.18292,                0.96683,                0.99655,                      1,                  0.995,                0.95059,                0.93793,                0.94118,                 0.9289,                 0.3588,                0.41344,                 2.6476,                0.16649,                0.31437,                0.73682,              0.0019129,              0.0019129,              0.0019129
                     24,                0.23399,                 2.1664,                 0.1702,                0.18872,                0.96981,                0.99837,                      1,                  0.995,                0.96125,                0.61703,                0.61765,                0.48399,                0.16269,                0.34338,                 3.9998,                0.18573,                0.24989,                0.63459,              0.0019089,              0.0019089,              0.0019089
                     25,                0.22111,                 2.2731,                 0.1689,                0.18476,                0.95616,                0.99837,                      1,                  0.995,                0.95886,                0.93965,                0.94118,                0.91737,                0.48845,                0.36594,                 2.0669,                0.15604,                0.29188,                0.67136,               0.001905,               0.001905,               0.001905
                     26,                0.21155,                 1.8786,                0.16351,                 0.1755,                0.96556,                0.99781,                      1,                  0.995,                0.97818,                0.96846,                0.97059,                0.96082,                0.52871,                0.32666,                 1.8593,                0.17001,                0.27665,                0.60404,               0.001901,               0.001901,               0.001901
                     27,                0.22357,                 2.0598,                0.15815,                 0.1846,                0.97285,                0.99848,                      1,                  0.995,                0.97298,                0.93971,                0.94118,                0.90641,                0.55687,                0.33632,                 1.6953,                0.15313,                0.24047,                0.62745,               0.001897,               0.001897,               0.001897
                     28,                 0.2192,                  1.969,                0.16184,                0.18195,                0.96867,                0.99835,                      1,                  0.995,                0.95565,                0.99835,                      1,                  0.995,                0.55106,                0.35302,                 2.0151,                0.14295,                0.25688,                0.62169,              0.0018931,              0.0018931,              0.0018931
                     29,                0.21641,                 1.8753,                0.15921,                  0.178,                0.95654,                0.99748,                      1,                  0.995,                0.96174,                 0.9388,                0.94118,                0.92059,                 0.4224,                0.36234,                 2.0856,                0.16733,                0.27722,                0.67325,              0.0018891,              0.0018891,              0.0018891
                     30,                0.21009,                 1.7565,                0.15289,                0.18019,                0.96384,                0.96599,                      1,                  0.995,                0.97821,                0.96599,                      1,                  0.995,                0.67422,                0.31851,                 1.3567,                0.14359,                0.25232,                0.63428,              0.0018852,              0.0018852,              0.0018852
                     31,                0.21038,                 1.7927,                0.15356,                0.17698,                0.95172,                0.99844,                      1,                  0.995,                0.94962,                0.96908,                0.97059,                0.96526,                0.53402,                0.33835,                 1.5157,                0.14586,                 0.2231,                0.62826,              0.0018812,              0.0018812,              0.0018812
                     32,                  0.225,                 1.9024,                0.15799,                0.18202,                0.94833,                0.99777,                      1,                  0.995,                0.99134,                0.99777,                      1,                  0.995,                0.59066,                0.29862,                 1.7086,                 0.1525,                0.24884,                0.58436,              0.0018772,              0.0018772,              0.0018772
